Title,Slug,product_slug (Plain text),category_key (Plain text),article_number (Plain text),name_sv (Plain text),name_en (Plain text),length_mm (Plain text),width_mm (Plain text),inside_width_mm (Plain text),folded_length_mm (Plain text),folded_height_mm (Plain text),weight_kg (Plain text),max_load_kg (Plain text),rec_max_height_mm (Plain text),adjustable_height_mm (Plain text),angle_deg (Plain text),other_specs_sv (Plain text),other_specs_en (Plain text),specs_raw_sv (Rich text),specs_raw_en (Rich text),image (Image),source_url_sv (Link),source_url_en (Link)
"10747 Channel ramp, Foldable, 2010x210 mm",10747,vikbara-ramper,portabla-ramper,10747,"10747 Skena, Vikbar, 2010x210 mm","10747 Channel ramp, Foldable, 2010x210 mm",2010,,210,1020,,6.3,150,400,,,,,"Längd: 2010 mm
Bredd insida: 210 mm
Längd ihopvikt: 1020 mm
Vikt: 6,3 kg
Maxlast: 150 kg
Rek. maxhöjd: 400 mm","Length: 2000/79 mm/in
Inside width: 210/8 mm/in
Folded length: 1010/40 mm/in
Weight: 6,3/13,9 kg/lb
Max. load: 150/330 kg/lb
Recommended max. height: 400/16 mm/in",,https://www.feal.se/ramper/portabla-ramper/vikbara-ramper,https://www.feal.se/ramps/portable-ramps/folding-ramps
"10773 Channel ramp, Foldable, Low edge, 1100x180 mm",10773,vikbara-ramper,portabla-ramper,10773,"10773 Skena, Vikbar, Låg kant, 1100x180 mm","10773 Channel ramp, Foldable, Low edge, 1100x180 mm",1100,,180,560,,2.3,200,200,,,,,"Längd: 1100 mm
Bredd insida: 180 mm
Längd ihopvikt: 560 mm
Vikt: 2,3 kg
Maxlast: 200 kg
Rek. maxhöjd: 200 mm","Length: 1100/43 mm/in
Inside width: 180/7 mm/in
Folded length: 560/22 mm/in
Weight: 2,3/5,1 kg/lb
Max. load: 200/440 kg/lb
Recommended max. height: 200/8 mm/in",,https://www.feal.se/ramper/portabla-ramper/vikbara-ramper,https://www.feal.se/ramps/portable-ramps/folding-ramps
"10774 Channel ramp, Foldable, Low edge, 1500x180 mm",10774,vikbara-ramper,portabla-ramper,10774,"10774 Skena, Vikbar, Låg kant, 1500x180 mm","10774 Channel ramp, Foldable, Low edge, 1500x180 mm",1500,,180,760,,3.4,200,300,,,,,"Längd: 1500 mm
Bredd insida: 180 mm
Längd ihopvikt: 760 mm
Vikt: 3,4 kg
Maxlast: 200 kg
Rek. maxhöjd: 300 mm","Length: 1500/59 mm/in
Inside width: 180/7 mm/in
Folded length: 760/30 mm/in
Weight: 3,4/7,5 kg/lb
Max. load: 200/440 kg/lb
Recommended max. height: 300/12 mm/in",,https://www.feal.se/ramper/portabla-ramper/vikbara-ramper,https://www.feal.se/ramps/portable-ramps/folding-ramps
"10775 Channel ramp, Foldable, Low edge, 2000x180 mm",10775,vikbara-ramper,portabla-ramper,10775,"10775 Skena, Vikbar, Låg kant, 2020x180 mm","10775 Channel ramp, Foldable, Low edge, 2000x180 mm",2020,,180,1020,,6,150,400,,,,,"Längd: 2020 mm
Bredd insida: 180 mm
Längd ihopvikt: 1020 mm
Vikt: 6 kg
Maxlast: 150 kg
Rek. maxhöjd: 400 mm","Length: 2000/79 mm/in
Inside width: 180/7 mm/in
Folded length: 1010/40 mm/in
Weight: 6,0/13,2 kg/lb
Max. load: 150/330 kg/lb
Recommended max. height: 400/16 mm/in",,https://www.feal.se/ramper/portabla-ramper/vikbara-ramper,https://www.feal.se/ramps/portable-ramps/folding-ramps
"10799 Channel ramp, Foldable, Wide, 2130x270 mm",10799,vikbara-ramper,portabla-ramper,10799,"10799 Skena, Vikbar, Bred, 2130x270 mm","10799 Channel ramp, Foldable, Wide, 2130x270 mm",2130,,270,1080,,8,150,400,,,,,"Längd: 2130 mm
Bredd insida: 270 mm
Längd ihopvikt: 1080 mm
Vikt: 8 kg
Maxlast: 150 kg
Rek. maxhöjd: 400 mm","Length: 2120/783 mm/in
Inside width: 270/11 mm/in
Folded length: 1070/42 mm/in
Weight: 8,0/17,6 kg/lb
Max. load: 150/330 kg/lb
Recommended max. height: 400/16 mm/in",,https://www.feal.se/ramper/portabla-ramper/vikbara-ramper,https://www.feal.se/ramps/portable-ramps/folding-ramps
"10797 Channel ramp, Foldable, Telescopic, Wide, 2050x250 mm",10797,vikbara-teleskopramper,portabla-ramper,10797,"10797 Skena, Vikbar, Teleskopisk, 2050x250 mm","10797 Channel ramp, Foldable, Telescopic, Wide, 2050x250 mm",2050,,250,780,,8.3,150,400,,,,,"Längd: 2050 mm
Bredd insida: 250 mm
Längd ihopvikt: 780 mm
Vikt: 8,3 kg
Maxlast: 150 kg
Rek. maxhöjd: 400 mm","Length: 2050/81 mm/in
Inside width: 250/10 mm/in
Folded length: 770/30 mm/in
Weight: 8,3/18,3 kg/lb
Max. load: 150/330 kg/lb
Recommended max. height: 400/16 mm/in",,https://www.feal.se/ramper/portabla-ramper/vikbara-teleskopramper,https://www.feal.se/ramps/portable-ramps/folding-telescopic-ramps
"10798 Channel ramp, Foldable, Telescopic, Wide, 2950x250 mm",10798,vikbara-teleskopramper,portabla-ramper,10798,"10798 Skena, Vikbar, Teleskopisk, 2950x250 mm","10798 Channel ramp, Foldable, Telescopic, Wide, 2950x250 mm",2950,,250,1080,,11.4,125,600,,,,,"Längd: 2950 mm
Bredd insida: 250 mm
Längd ihopvikt: 1080 mm
Vikt: 11,4 kg
Maxlast: 125 kg
Rek. maxhöjd: 600 mm","Length: 2950/116 mm/in
Inside width: 250/10 mm/in
Folded length: 1070/42 mm/in
Weight: 11,4/25,1 kg/lb
Max. load: 125/275 kg/lb
Recommended max. height: 600/24 mm/in",,https://www.feal.se/ramper/portabla-ramper/vikbara-teleskopramper,https://www.feal.se/ramps/portable-ramps/folding-telescopic-ramps
"10793 Channel ramp, Foldable, Telescopic, 2010x190 mm",10793,vikbara-teleskopramper,portabla-ramper,10793,"10793 Skena, Vikbar, Teleskopisk, 2010x190 mm","10793 Channel ramp, Foldable, Telescopic, 2010x190 mm",2010,,190,770,,6.8,150,400,,,,,"Längd: 2010 mm
Bredd insida: 190 mm
Längd ihopvikt: 770 mm
Vikt: 6,8 kg
Maxlast: 150 kg
Rek. maxhöjd: 400 mm","Length: 2010/116 mm/in
Inside width: 190/7 mm/in
Folded length: 760/30 mm/in
Weight: 6,8/15,0 kg/lb
Max. load: 150/330 kg/lb
Recommended max. height: 400/16 mm/in",,https://www.feal.se/ramper/portabla-ramper/vikbara-teleskopramper,https://www.feal.se/ramps/portable-ramps/folding-telescopic-ramps
"10795 Channel ramp, Foldable, Telescopic, 2760x190 mm",10795,vikbara-teleskopramper,portabla-ramper,10795,"10795 Skena, Vikbar, Teleskopisk, 2770x190 mm","10795 Channel ramp, Foldable, Telescopic, 2760x190 mm",2770,,190,1020,,8.6,125,600,,,,,"Längd: 2770 mm
Bredd insida: 190 mm
Längd ihopvikt: 1020 mm
Vikt: 8,6 kg
Maxlast: 125 kg
Rek. maxhöjd: 600 mm","Length: 2760/109 mm/in
Inside width: 190/7 mm/in
Folded length: 1010/40 mm/in
Weight: 8,6/19,0 kg/lb
Max. load: 125/275 kg/lb
Recommended max. height: 600/24 mm/in",,https://www.feal.se/ramper/portabla-ramper/vikbara-teleskopramper,https://www.feal.se/ramps/portable-ramps/folding-telescopic-ramps
"10936 PRO, Ramp, Foldable, 1500 mm",10936,lastskenor,portabla-ramper,10936,"10936 PRO, Ramp, Vikbar, 1500 mm","10936 PRO, Ramp, Foldable, 1500 mm",1500,,,750,,7.5,400,,,,,,"Längd: 1500 mm
Spårbredd: 270 mm
Längd ihopvikt: 750 mm
Vikt: 7,5 kg
Maxlast: 400 kg","Length: 1500/59 mm/in
Track width: 270/11 mm/in
Folded length: 750/30 mm/in
Weight: 7,5/17,6 kg/lb
Max. load: 400/880 kg/lb",,https://www.feal.se/ramper/portabla-ramper/lastskenor,https://www.feal.se/ramps/portable-ramps/loading-rails
"10937 PRO, Ramp, Foldable, 2000 mm",10937,lastskenor,portabla-ramper,10937,"10937 PRO, Ramp, Vikbar, 2000 mm","10937 PRO, Ramp, Foldable, 2000 mm",2000,,,1000,,10,400,,,,,,"Längd: 2000 mm
Spårbredd: 270 mm
Längd ihopvikt: 1000 mm
Vikt: 10 kg
Maxlast: 400 kg","Length: 2000/79 mm/in
Track width: 270/11 mm/in
Folded length: 100/40 mm/in
Weight: 10/22,0 kg/lb
Max. load: 400/880 kg/lb",,https://www.feal.se/ramper/portabla-ramper/lastskenor,https://www.feal.se/ramps/portable-ramps/loading-rails
"10938 PRO, Ramp, Foldable, 2500 mm",10938,lastskenor,portabla-ramper,10938,"10938 PRO, Ramp, Vikbar, 2500 mm","10938 PRO, Ramp, Foldable, 2500 mm",2500,,,1250,,13,400,,,,,,"Längd: 2500 mm
Spårbredd: 270 mm
Längd ihopvikt: 1250 mm
Vikt: 13 kg
Maxlast: 400 kg","Length: 2500/98 mm/in
Track width: 270/11 mm/in
Folded length: 125/49 mm/in
Weight:13/26,4 kg/lb
Max. load: 400/880 kg/lb",,https://www.feal.se/ramper/portabla-ramper/lastskenor,https://www.feal.se/ramps/portable-ramps/loading-rails
"10933 PRO, Ramp, Fixed, 1500 mm",10933,lastskenor,portabla-ramper,10933,"10933 PRO, Ramp, 1500 mm","10933 PRO, Ramp, Fixed, 1500 mm",1500,,,,,8.4,400,,,,,,"Längd: 1500 mm
Spårbredd: 270 mm
Vikt: 8,4 kg
Maxlast: 400 kg","Length: 1500/59 mm/in
Track width: 270/11
Weight: 8,4/15,4 kg/lb
Max. load: 400/880 kg/lb",,https://www.feal.se/ramper/portabla-ramper/lastskenor,https://www.feal.se/ramps/portable-ramps/loading-rails
"10934 PRO, Ramp, Fixed, 2000 mm",10934,lastskenor,portabla-ramper,10934,"10934 PRO, Ramp, 2000 mm","10934 PRO, Ramp, Fixed, 2000 mm",2000,,,,,10.6,400,,,,,,"Längd: 2000 mm
Spårbredd: 270 mm
Vikt: 10,6 kg
Maxlast: 400 kg","Length: 2000/79 mm/in
Track width: 270/11
Weight: 10,6/19,8 kg/lb
Max. load: 400/880 kg/lb",,https://www.feal.se/ramper/portabla-ramper/lastskenor,https://www.feal.se/ramps/portable-ramps/loading-rails
"10935 PRO, Ramp, Fixed, 2500 mm",10935,lastskenor,portabla-ramper,10935,"10935 PRO, Ramp, 2500 mm","10935 PRO, Ramp, Fixed, 2500 mm",2500,,,,,13,400,,,,,,"Längd: 2500 mm
Spårbredd: 270 mm
Vikt: 13 kg
Maxlast: 400 kg","Length: 2500/98 mm/in
Track width: 270/11
Weight: 13/24,2 kg/lb
Max. load: 400/880 kg/lb",,https://www.feal.se/ramper/portabla-ramper/lastskenor,https://www.feal.se/ramps/portable-ramps/loading-rails
"11056 Anyramp, Foldable, 1000x820 mm",11056,anyramp,portabla-ramper,11056,"11056 Anyramp, Vikbar, 1000x820 mm","11056 Anyramp, Foldable, 1000x820 mm",1000,,820,520,,11,400,200,,,,,"Längd: 1000 mm
Bredd insida: 820 mm
Längd ihopvikt: 520 mm
Vikt: 11 kg
Maxlast: 400 kg
Rek. maxhöjd: 200 mm","Length: 1000/39 mm/in
Inside width: 820/32 mm/in
Folded length: 520/20 mm/in
Weight: 11/24,2 kg/lb
Max. load: 400/880 kg/lb
Recommended max. height: 200/7 mm/in",,https://www.feal.se/ramper/portabla-ramper/anyramp,https://www.feal.se/ramps/portable-ramps/anyramp
"11057* Anyramp, 1000x820 mm",11057,anyramp,portabla-ramper,11057,"11057* Anyramp, 1000x820 mm","11057* Anyramp, 1000x820 mm",1000,,820,1000,,10,400,200,,,,,"Längd: 1000 mm
Bredd insida: 820 mm
Längd ihopvikt: 1000 mm
Vikt: 10 kg
Maxlast: 400 kg
Rek. maxhöjd: 200 mm","Length: 1000/39 mm/in
Inside width: 820/32 mm/in
Folded length: 1000/39 mm/in
Weight: 10/22,0 kg/lb
Max. load: 400/880 kg/lb
Recommended max. height: 200/7 mm/in",,https://www.feal.se/ramper/portabla-ramper/anyramp,https://www.feal.se/ramps/portable-ramps/anyramp
"11058 Anyramp, Foldable, 1600x820 mm",11058,anyramp,portabla-ramper,11058,"11058 Anyramp, Vikbar, 1600x820 mm","11058 Anyramp, Foldable, 1600x820 mm",1600,,820,850,,18,400,320,,,,,"Längd: 1600 mm
Bredd insida: 820 mm
Längd ihopvikt: 850 mm
Vikt: 18 kg
Maxlast: 400 kg
Rek. maxhöjd: 320 mm","Length: 1600/63 mm/in
Inside width: 820/32 mm/in
Folded length: 850/33 mm/in
Weight: 18/39,6 kg/lb
Max. load: 400/880 kg/lb
Recommended max. height: 320/12 mm/in",,https://www.feal.se/ramper/portabla-ramper/anyramp,https://www.feal.se/ramps/portable-ramps/anyramp
"11059 Anyramp, Foldable, 2000x820 mm",11059,anyramp,portabla-ramper,11059,"11059 Anyramp, Vikbar, 2000x820 mm","11059 Anyramp, Foldable, 2000x820 mm",2000,,820,1050,,21,400,400,,,,,"Längd: 2000 mm
Bredd insida: 820 mm
Längd ihopvikt: 1050 mm
Vikt: 21 kg
Maxlast: 400 kg
Rek. maxhöjd: 400 mm","Length: 2000/63 mm/in
Inside width: 820/32 mm/in
Folded length: 1050/41 mm/in
Weight: 21/46,3 kg/lb
Max. load: 400/880 kg/lb
Recommended max. height: 400/15 mm/in",,https://www.feal.se/ramper/portabla-ramper/anyramp,https://www.feal.se/ramps/portable-ramps/anyramp
"11060 Anyramp, Foldable, 2500x820 mm",11060,anyramp,portabla-ramper,11060,"11060 Anyramp, Vikbar, 2500x820 mm","11060 Anyramp, Foldable, 2500x820 mm",2500,,820,1300,,25,400,500,,,,,"Längd: 2500 mm
Bredd insida: 820 mm
Längd ihopvikt: 1300 mm
Vikt: 25 kg
Maxlast: 400 kg
Rek. maxhöjd: 500 mm","Length: 2500/98 mm/in
Inside width: 820/32 mm/in
Folded length: 1300/51 mm/in
Weight: 25/55,1 kg/lb
Max. load: 400/880 kg/lb
Recommended max. height: 500/19 mm/in",,https://www.feal.se/ramper/portabla-ramper/anyramp,https://www.feal.se/ramps/portable-ramps/anyramp
"11061 Anyramp, Foldable, 2800x820 mm",11061,anyramp,portabla-ramper,11061,"11061 Anyramp, Vikbar, 2800x820 mm","11061 Anyramp, Foldable, 2800x820 mm",2800,,820,1450,,29,400,600,,,,,"Längd: 2800 mm
Bredd insida: 820 mm
Längd ihopvikt: 1450 mm
Vikt: 29 kg
Maxlast: 400 kg
Rek. maxhöjd: 600 mm","Length: 2800x110 mm/in
Inside width: 820/32 mm/in
Folded length: 1450/57 mm/in
Weight: 29/63,9 kg/lb
Max. load: 400/880 kg/lb
Recommended max. height: 600/23 mm/in",,https://www.feal.se/ramper/portabla-ramper/anyramp,https://www.feal.se/ramps/portable-ramps/anyramp
"10841 Suitcase ramp, 520x760 mm",10841,iramp-portabel,portabla-ramper,10841,"10841 Bred åkyta, Vikbar, 520x760 mm","10841 Suitcase ramp, 520x760 mm",520,,,,,4.3,400,100,,,,,"Längd: 520 mm
Bredd åkyta: 760 mm
Bredd ihopfälld: 390 mm
Vikt: 4,3 kg
Maxlast: 400 kg
Rek. maxhöjd: 100 mm","Length: 520/20 mm/in
Inside width: 760/30 mm/in
Folded width: 390/15 mm/in
Weigh: 4,3/9,5 kg/lb
Max. load: 400/880 kg/lb
Recommended max. height: 100/4 mm/in",,https://www.feal.se/ramper/portabla-ramper/iramp-portabel,https://www.feal.se/ramps/portable-ramps/iramp-portabel
"10842 Suitcase ramp, 920x760 mm",10842,iramp-portabel,portabla-ramper,10842,"10842 Bred åkyta, Vikbar, 920x760 mm","10842 Suitcase ramp, 920x760 mm",920,,,,,7.3,400,200,,,,,"Längd: 920 mm
Bredd åkyta: 760 mm
Bredd ihopfälld: 390 mm
Vikt: 7,3 kg
Maxlast: 400 kg
Rek. maxhöjd: 200 mm","Length: 920/36 mm/in
Inside width: 760/30 mm/in
Folded width: 390/15 mm/in
Weigh: 7,3/16 kg/lb
Max. load: 400/880 kg/lb
Recommended max. height: 200/8 mm/in",,https://www.feal.se/ramper/portabla-ramper/iramp-portabel,https://www.feal.se/ramps/portable-ramps/iramp-portabel
"10843 Suitcase ramp, 1160x760 mm",10843,iramp-portabel,portabla-ramper,10843,"10843 Bred åkyta, Vikbar, 1160x760 mm","10843 Suitcase ramp, 1160x760 mm",1160,,,,,9.1,400,250,,,,,"Längd: 1160 mm
Bredd åkyta: 760 mm
Bredd ihopfälld: 390 mm
Vikt: 9,1 kg
Maxlast: 400 kg
Rek. maxhöjd: 250 mm","Length: 1160/46 mm/in
Inside width: 760/30 mm/in
Folded width: 390/15 mm/in
Weigh: 9,1/20 kg/lb
Max. load: 400/880 kg/lb
Recommended max. height: 250/10 mm/in",,https://www.feal.se/ramper/portabla-ramper/iramp-portabel,https://www.feal.se/ramps/portable-ramps/iramp-portabel
"10844 Suitcase ramp, 1500x760 mm",10844,iramp-portabel,portabla-ramper,10844,"10844 Bred åkyta, Vikbar, 1500x760 mm","10844 Suitcase ramp, 1500x760 mm",1500,,,,,11.5,400,300,,,,,"Längd: 1500 mm
Bredd åkyta: 760 mm
Bredd ihopfälld: 390 mm
Vikt: 11,5 kg
Maxlast: 400 kg
Rek. maxhöjd: 300 mm","Length: 1500/59 mm/in
Inside width: 760/30 mm/in
Folded width: 390/15 mm/in
Weigh: 11,5/25,3 kg/lb
Max. load: 400/880 kg/lb
Recommended max. height: 300/12 mm/in",,https://www.feal.se/ramper/portabla-ramper/iramp-portabel,https://www.feal.se/ramps/portable-ramps/iramp-portabel
"10845 Suitcase ramp, 1670x760 mm",10845,iramp-portabel,portabla-ramper,10845,"10845 Bred åkyta, Vikbar, 1670x760 mm","10845 Suitcase ramp, 1670x760 mm",1670,,,,,12.5,400,350,,,,,"Längd: 1670 mm
Bredd åkyta: 760 mm
Bredd ihopfälld: 390 mm
Vikt: 12,5 kg
Maxlast: 400 kg
Rek. maxhöjd: 350 mm","Length: 1670/66 mm/in
Inside width: 760/30 mm/in
Folded width: 390/15 mm/in
Weigh: 12,5/27,5 kg/lb
Max. load: 400/880 kg/lb
Recommended max. height: 350/14 mm/in",,https://www.feal.se/ramper/portabla-ramper/iramp-portabel,https://www.feal.se/ramps/portable-ramps/iramp-portabel
"10846 Suitcase ramp, 2000x760 mm",10846,iramp-portabel,portabla-ramper,10846,"10846 Bred åkyta, Vikbar, 2000x760 mm","10846 Suitcase ramp, 2000x760 mm",2000,,,,,15.8,400,400,,,,,"Längd: 2000 mm
Bredd åkyta: 760 mm
Bredd ihopfälld: 390 mm
Vikt: 15,8 kg
Maxlast: 400 kg
Rek. maxhöjd: 400 mm","Length: 2000/79 mm/in
Inside width: 760/30 mm/in
Folded width: 390/15 mm/in
Weigh: 15,8/34,7 kg/lb
Max. load: 400/880 kg/lb
Recommended max. height: 400/16 mm/in",,https://www.feal.se/ramper/portabla-ramper/iramp-portabel,https://www.feal.se/ramps/portable-ramps/iramp-portabel
10837,10837,iramp-carbon,portabla-ramper,10837,10837,10837,750,406,805,,,2.4,,150,,,,,"Length: 750 mm
Weight: 2,4 kg
SWL: 350 kg
Inside width: 805 mm
Folded width: 406 mm
Rec. max height: 150 mm","Length: 750 mm
Weight: 2,4 kg
SWL: 350 kg
Inside width: 805 mm
Folded width: 406 mm
Rec. max height: 150 mm",,https://www.feal.se/ramper/portabla-ramper/iramp-carbon,https://www.feal.se/ramps/portable-ramps/iramp-carbon
10838,10838,iramp-carbon,portabla-ramper,10838,10838,10838,1200,406,805,,,3.7,,250,,,,,"Length: 1200 mm
Weight: 3,7 kg
SWL: 350 kg
Inside width: 805 mm
Folded width: 406 mm
Rec. max height: 250 mm","Length: 1200 mm
Weight: 3,7 kg
SWL: 350 kg
Inside width: 805 mm
Folded width: 406 mm
Rec. max height: 250 mm",,https://www.feal.se/ramper/portabla-ramper/iramp-carbon,https://www.feal.se/ramps/portable-ramps/iramp-carbon
10839,10839,iramp-carbon,portabla-ramper,10839,10839,10839,1500,406,805,,,4.6,,300,,,,,"Length: 1500 mm
Weight: 4,6 kg
SWL: 350 kg
Inside width: 805 mm
Folded width: 406 mm
Rec. max height: 300 mm","Length: 1500 mm
Weight: 4,6 kg
SWL: 350 kg
Inside width: 805 mm
Folded width: 406 mm
Rec. max height: 300 mm",,https://www.feal.se/ramper/portabla-ramper/iramp-carbon,https://www.feal.se/ramps/portable-ramps/iramp-carbon
